RANDOM_SEED, 1698991647
GEN,		MIN,				AVE,				MAX,			CONV,					CONV_ACT,
  0,		7.70,		53.88,		78.06,				1.44874,				0.99263
  1,		61.18,		68.33,		78.18,				1.14421,				0.99412
  2,		69.57,		75.17,		78.39,				1.04288,				0.99681
  3,		76.63,		77.51,		78.55,				1.01338,				0.99880
  4,		77.85,		78.34,		78.59,				1.00319,				0.99937
  5,		78.44,		78.55,		78.59,				1.00053,				0.99937
  6,		78.55,		78.57,		78.62,				1.00061,				0.99974
  7,		78.59,		78.61,		78.62,				1.00021,				0.99974
  8,		78.62,		78.62,		78.62,				1.00000,				0.99974
  9,		78.62,		78.62,		78.63,				1.00003,				0.99977
 10,		78.62,		78.62,		78.63,				1.00003,				0.99977
 11,		78.62,		78.62,		78.63,				1.00001,				0.99977
 12,		78.63,		78.63,		78.63,				1.00003,				0.99980
 13,		78.63,		78.63,		78.63,				1.00002,				0.99980
 14,		78.63,		78.63,		78.63,				1.00001,				0.99980
 15,		78.63,		78.63,		78.64,				1.00016,				0.99996
 16,		78.63,		78.63,		78.64,				1.00016,				0.99996
 17,		78.63,		78.63,		78.64,				1.00014,				0.99996
 18,		78.63,		78.63,		78.64,				1.00011,				0.99998
 19,		78.64,		78.64,		78.64,				1.00001,				0.99998
 20,		78.64,		78.64,		78.64,				1.00001,				0.99998
 21,		78.64,		78.64,		78.64,				1.00000,				0.99998
 22,		78.64,		78.64,		78.64,				1.00000,				0.99998
 23,		78.64,		78.64,		78.64,				1.00000,				0.99998
 24,		78.64,		78.64,		78.64,				1.00000,				0.99998
 25,		78.64,		78.64,		78.64,				1.00000,				0.99998
 26,		78.64,		78.64,		78.64,				1.00000,				0.99998
 27,		78.64,		78.64,		78.64,				1.00000,				0.99998
 28,		78.64,		78.64,		78.64,				1.00000,				0.99998
 29,		78.64,		78.64,		78.64,				1.00000,				0.99998
 30,		78.64,		78.64,		78.64,				1.00000,				0.99998
 31,		78.64,		78.64,		78.64,				1.00000,				0.99998
 32,		78.64,		78.64,		78.64,				1.00000,				0.99998
 33,		78.64,		78.64,		78.64,				1.00000,				0.99998
 34,		78.64,		78.64,		78.64,				1.00000,				0.99998
 35,		78.64,		78.64,		78.64,				1.00000,				0.99998
 36,		78.64,		78.64,		78.64,				1.00000,				0.99998
 37,		78.64,		78.64,		78.64,				1.00000,				0.99998
 38,		78.64,		78.64,		78.64,				1.00000,				0.99998
 39,		78.64,		78.64,		78.64,				1.00000,				0.99998
 40,		78.64,		78.64,		78.64,				1.00000,				0.99998
 41,		78.64,		78.64,		78.64,				1.00000,				0.99998
 42,		78.64,		78.64,		78.64,				1.00000,				0.99998
 43,		78.64,		78.64,		78.64,				1.00002,				1.00000
 44,		78.64,		78.64,		78.64,				1.00001,				1.00000
 45,		78.64,		78.64,		78.64,				1.00000,				1.00000
 46,		78.64,		78.64,		78.64,				1.00000,				1.00000
 47,		78.64,		78.64,		78.64,				1.00000,				1.00000
 48,		78.64,		78.64,		78.64,				1.00000,				1.00000
 49,		78.64,		78.64,		78.64,				1.00000,				1.00000
 50,		78.64,		78.64,		78.64,				1.00000,				1.00000
 51,		78.64,		78.64,		78.64,				1.00000,				1.00000
 52,		78.64,		78.64,		78.64,				1.00000,				1.00000
 53,		78.64,		78.64,		78.64,				1.00000,				1.00000
 54,		78.64,		78.64,		78.64,				1.00000,				1.00000
 55,		78.64,		78.64,		78.64,				1.00000,				1.00000
 56,		78.64,		78.64,		78.64,				1.00000,				1.00000
 57,		78.64,		78.64,		78.64,				1.00000,				1.00000
 58,		78.64,		78.64,		78.64,				1.00000,				1.00000
 59,		78.64,		78.64,		78.64,				1.00000,				1.00000
 60,		78.64,		78.64,		78.64,				1.00000,				1.00000
 61,		78.64,		78.64,		78.64,				1.00000,				1.00000
 62,		78.64,		78.64,		78.64,				1.00000,				1.00000
 63,		78.64,		78.64,		78.64,				1.00000,				1.00000
 64,		78.64,		78.64,		78.64,				1.00000,				1.00000
 65,		78.64,		78.64,		78.64,				1.00000,				1.00000
 66,		78.64,		78.64,		78.64,				1.00000,				1.00000
 67,		78.64,		78.64,		78.64,				1.00000,				1.00000
 68,		78.64,		78.64,		78.64,				1.00000,				1.00000
 69,		78.64,		78.64,		78.64,				1.00000,				1.00000
 70,		78.64,		78.64,		78.64,				1.00000,				1.00000
 71,		78.64,		78.64,		78.64,				1.00000,				1.00000
 72,		78.64,		78.64,		78.64,				1.00000,				1.00000
 73,		78.64,		78.64,		78.64,				1.00000,				1.00000
 74,		78.64,		78.64,		78.64,				1.00000,				1.00000
 75,		78.64,		78.64,		78.64,				1.00000,				1.00000
 76,		78.64,		78.64,		78.64,				1.00000,				1.00000
 77,		78.64,		78.64,		78.64,				1.00000,				1.00000
 78,		78.64,		78.64,		78.64,				1.00000,				1.00000
 79,		78.64,		78.64,		78.64,				1.00000,				1.00000
 80,		78.64,		78.64,		78.64,				1.00000,				1.00000
 81,		78.64,		78.64,		78.64,				1.00000,				1.00000
 82,		78.64,		78.64,		78.64,				1.00000,				1.00000
 83,		78.64,		78.64,		78.64,				1.00000,				1.00000
 84,		78.64,		78.64,		78.64,				1.00000,				1.00000
 85,		78.64,		78.64,		78.64,				1.00000,				1.00000
 86,		78.64,		78.64,		78.64,				1.00000,				1.00000
 87,		78.64,		78.64,		78.64,				1.00000,				1.00000
 88,		78.64,		78.64,		78.64,				1.00000,				1.00000
 89,		78.64,		78.64,		78.64,				1.00000,				1.00000
 90,		78.64,		78.64,		78.64,				1.00000,				1.00000
 91,		78.64,		78.64,		78.64,				1.00000,				1.00000
 92,		78.64,		78.64,		78.64,				1.00000,				1.00000
 93,		78.64,		78.64,		78.64,				1.00000,				1.00000
 94,		78.64,		78.64,		78.64,				1.00000,				1.00000
 95,		78.64,		78.64,		78.64,				1.00000,				1.00000
 96,		78.64,		78.64,		78.64,				1.00000,				1.00000
 97,		78.64,		78.64,		78.64,				1.00000,				1.00000
 98,		78.64,		78.64,		78.64,				1.00000,				1.00000
 99,		78.64,		78.64,		78.64,				1.00000,				1.00000
100,		78.64,		78.64,		78.64,				1.00000,				1.00000
101,		78.64,		78.64,		78.64,				1.00000,				1.00000
102,		78.64,		78.64,		78.64,				1.00000,				1.00000
103,		78.64,		78.64,		78.64,				1.00000,				1.00000
104,		78.64,		78.64,		78.64,				1.00000,				1.00000
105,		78.64,		78.64,		78.64,				1.00000,				1.00000
106,		78.64,		78.64,		78.64,				1.00000,				1.00000
107,		78.64,		78.64,		78.64,				1.00000,				1.00000
108,		78.64,		78.64,		78.64,				1.00000,				1.00000
109,		78.64,		78.64,		78.64,				1.00000,				1.00000
110,		78.64,		78.64,		78.64,				1.00000,				1.00000
111,		78.64,		78.64,		78.64,				1.00000,				1.00000
112,		78.64,		78.64,		78.64,				1.00000,				1.00000
113,		78.64,		78.64,		78.64,				1.00000,				1.00000
114,		78.64,		78.64,		78.64,				1.00000,				1.00000
115,		78.64,		78.64,		78.64,				1.00000,				1.00000
116,		78.64,		78.64,		78.64,				1.00000,				1.00000
117,		78.64,		78.64,		78.64,				1.00000,				1.00000
118,		78.64,		78.64,		78.64,				1.00000,				1.00000
119,		78.64,		78.64,		78.64,				1.00000,				1.00000
