RANDOM_SEED, 1698991667
GEN,		MIN,			AVE,			MAX,
0,		2.38822,		25.09748,		55.23254,
1,		0.82542,		11.16130,		18.91271,
2,		0.37567,		3.12674,		8.71983,
3,		0.24385,		0.84300,		1.25640,
4,		0.06646,		0.44877,		0.76037,
5,		0.03755,		0.18012,		0.37567,
6,		0.03755,		0.08131,		0.10732,
7,		0.02148,		0.05109,		0.06646,
8,		0.01897,		0.02983,		0.03755,
9,		0.01094,		0.02022,		0.02148,
10,		0.01094,		0.01891,		0.02148,
11,		0.00452,		0.01390,		0.01897,
12,		0.00452,		0.00766,		0.01094,
13,		0.00452,		0.00452,		0.00452,
14,		0.00452,		0.00452,		0.00452,
15,		0.00371,		0.00451,		0.00452,
16,		0.00131,		0.00431,		0.00452,
17,		0.00131,		0.00415,		0.00452,
18,		0.00050,		0.00364,		0.00452,
19,		0.00050,		0.00188,		0.00371,
20,		0.00050,		0.00050,		0.00050,
21,		0.00050,		0.00050,		0.00050,
22,		0.00050,		0.00050,		0.00050,
23,		0.00050,		0.00050,		0.00050,
24,		0.00050,		0.00050,		0.00050,
25,		0.00050,		0.00050,		0.00050,
26,		0.00050,		0.00050,		0.00050,
27,		0.00050,		0.00050,		0.00050,
28,		0.00050,		0.00050,		0.00050,
29,		0.00050,		0.00050,		0.00050,
30,		0.00040,		0.00050,		0.00050,
31,		0.00040,		0.00048,		0.00050,
32,		0.00040,		0.00041,		0.00050,
33,		0.00040,		0.00040,		0.00040,
34,		0.00040,		0.00040,		0.00040,
35,		0.00040,		0.00040,		0.00040,
36,		0.00040,		0.00040,		0.00040,
37,		0.00040,		0.00040,		0.00040,
38,		0.00040,		0.00040,		0.00040,
39,		0.00040,		0.00040,		0.00040,
40,		0.00040,		0.00040,		0.00040,
41,		0.00040,		0.00040,		0.00040,
42,		0.00040,		0.00040,		0.00040,
43,		0.00040,		0.00040,		0.00040,
44,		0.00040,		0.00040,		0.00040,
45,		0.00040,		0.00040,		0.00040,
46,		0.00040,		0.00040,		0.00040,
47,		0.00040,		0.00040,		0.00040,
48,		0.00040,		0.00040,		0.00040,
49,		0.00040,		0.00040,		0.00040,
50,		0.00040,		0.00040,		0.00040,
51,		0.00040,		0.00040,		0.00040,
52,		0.00040,		0.00040,		0.00040,
53,		0.00040,		0.00040,		0.00040,
54,		0.00040,		0.00040,		0.00040,
55,		0.00040,		0.00040,		0.00040,
56,		0.00040,		0.00040,		0.00040,
57,		0.00000,		0.00040,		0.00040,
58,		0.00000,		0.00029,		0.00040,
59,		0.00000,		0.00004,		0.00040,
60,		0.00000,		0.00000,		0.00000,
61,		0.00000,		0.00000,		0.00000,
62,		0.00000,		0.00000,		0.00000,
63,		0.00000,		0.00000,		0.00000,
64,		0.00000,		0.00000,		0.00000,
65,		0.00000,		0.00000,		0.00000,
66,		0.00000,		0.00000,		0.00000,
67,		0.00000,		0.00000,		0.00000,
68,		0.00000,		0.00000,		0.00000,
69,		0.00000,		0.00000,		0.00000,
70,		0.00000,		0.00000,		0.00000,
71,		0.00000,		0.00000,		0.00000,
72,		0.00000,		0.00000,		0.00000,
73,		0.00000,		0.00000,		0.00000,
74,		0.00000,		0.00000,		0.00000,
75,		0.00000,		0.00000,		0.00000,
76,		0.00000,		0.00000,		0.00000,
77,		0.00000,		0.00000,		0.00000,
78,		0.00000,		0.00000,		0.00000,
79,		0.00000,		0.00000,		0.00000,
80,		0.00000,		0.00000,		0.00000,
81,		0.00000,		0.00000,		0.00000,
82,		0.00000,		0.00000,		0.00000,
83,		0.00000,		0.00000,		0.00000,
84,		0.00000,		0.00000,		0.00000,
85,		0.00000,		0.00000,		0.00000,
86,		0.00000,		0.00000,		0.00000,
87,		0.00000,		0.00000,		0.00000,
88,		0.00000,		0.00000,		0.00000,
89,		0.00000,		0.00000,		0.00000,
90,		0.00000,		0.00000,		0.00000,
91,		0.00000,		0.00000,		0.00000,
92,		0.00000,		0.00000,		0.00000,
93,		0.00000,		0.00000,		0.00000,
94,		0.00000,		0.00000,		0.00000,
95,		0.00000,		0.00000,		0.00000,
96,		0.00000,		0.00000,		0.00000,
97,		0.00000,		0.00000,		0.00000,
98,		0.00000,		0.00000,		0.00000,
99,		0.00000,		0.00000,		0.00000,
100,		0.00000,		0.00000,		0.00000,
101,		0.00000,		0.00000,		0.00000,
102,		0.00000,		0.00000,		0.00000,
103,		0.00000,		0.00000,		0.00000,
104,		0.00000,		0.00000,		0.00000,
105,		0.00000,		0.00000,		0.00000,
106,		0.00000,		0.00000,		0.00000,
107,		0.00000,		0.00000,		0.00000,
108,		0.00000,		0.00000,		0.00000,
109,		0.00000,		0.00000,		0.00000,
110,		0.00000,		0.00000,		0.00000,
111,		0.00000,		0.00000,		0.00000,
112,		0.00000,		0.00000,		0.00000,
113,		0.00000,		0.00000,		0.00000,
114,		0.00000,		0.00000,		0.00000,
115,		0.00000,		0.00000,		0.00000,
116,		0.00000,		0.00000,		0.00000,
117,		0.00000,		0.00000,		0.00000,
118,		0.00000,		0.00000,		0.00000,
119,		0.00000,		0.00000,		0.00000,
120,		0.00000,		0.00000,		0.00000,
121,		0.00000,		0.00000,		0.00000,
122,		0.00000,		0.00000,		0.00000,
123,		0.00000,		0.00000,		0.00000,
124,		0.00000,		0.00000,		0.00000,
125,		0.00000,		0.00000,		0.00000,
126,		0.00000,		0.00000,		0.00000,
127,		0.00000,		0.00000,		0.00000,
128,		0.00000,		0.00000,		0.00000,
129,		0.00000,		0.00000,		0.00000,
130,		0.00000,		0.00000,		0.00000,
131,		0.00000,		0.00000,		0.00000,
132,		0.00000,		0.00000,		0.00000,
133,		0.00000,		0.00000,		0.00000,
134,		0.00000,		0.00000,		0.00000,
135,		0.00000,		0.00000,		0.00000,
136,		0.00000,		0.00000,		0.00000,
137,		0.00000,		0.00000,		0.00000,
138,		0.00000,		0.00000,		0.00000,
139,		0.00000,		0.00000,		0.00000,
140,		0.00000,		0.00000,		0.00000,
141,		0.00000,		0.00000,		0.00000,
142,		0.00000,		0.00000,		0.00000,
143,		0.00000,		0.00000,		0.00000,
144,		0.00000,		0.00000,		0.00000,
145,		0.00000,		0.00000,		0.00000,
146,		0.00000,		0.00000,		0.00000,
147,		0.00000,		0.00000,		0.00000,
148,		0.00000,		0.00000,		0.00000,
149,		0.00000,		0.00000,		0.00000,
