GEN,	MIN,			AVE,			MAX,
  0,		1.30313,		25.31319,		63.24383
  1,		1.02016,		12.58342,		21.16523
  2,		0.46775,		4.78427,		9.99668
  3,		0.26706,		1.59849,		3.05931
  4,		0.17142,		0.73619,		1.43314
  5,		0.09126,		0.28392,		0.48379
  6,		0.06235,		0.14527,		0.22163
  7,		0.04943,		0.08188,		0.10682
  8,		0.04300,		0.05797,		0.07311
  9,		0.03920,		0.04990,		0.05831
 10,		0.03695,		0.04330,		0.04795
 11,		0.03652,		0.03917,		0.04185
 12,		0.03604,		0.03687,		0.03807
 13,		0.03452,		0.03648,		0.03667
 14,		0.01882,		0.03518,		0.03649
 15,		0.01836,		0.03282,		0.03455
 16,		0.01822,		0.03001,		0.03450
 17,		0.01799,		0.02045,		0.03338
 18,		0.01784,		0.01842,		0.01876
 19,		0.01747,		0.01796,		0.01807
 20,		0.01660,		0.01766,		0.01790
 21,		0.01655,		0.01703,		0.01748
 22,		0.01631,		0.01672,		0.01747
 23,		0.01604,		0.01646,		0.01660
 24,		0.01553,		0.01627,		0.01637
 25,		0.01525,		0.01588,		0.01627
 26,		0.00064,		0.01525,		0.01560
 27,		0.00062,		0.00799,		0.01525
 28,		0.00055,		0.00066,		0.00069
 29,		0.00055,		0.00062,		0.00069
 30,		0.00049,		0.00057,		0.00062
 31,		0.00042,		0.00053,		0.00055
 32,		0.00042,		0.00046,		0.00049
 33,		0.00042,		0.00042,		0.00042
 34,		0.00036,		0.00042,		0.00042
 35,		0.00036,		0.00039,		0.00042
 36,		0.00030,		0.00036,		0.00037
 37,		0.00030,		0.00033,		0.00036
 38,		0.00028,		0.00030,		0.00030
 39,		0.00028,		0.00029,		0.00030
 40,		0.00028,		0.00029,		0.00030
 41,		0.00028,		0.00028,		0.00028
 42,		0.00028,		0.00028,		0.00028
 43,		0.00023,		0.00028,		0.00028
 44,		0.00023,		0.00026,		0.00028
 45,		0.00023,		0.00023,		0.00023
 46,		0.00023,		0.00023,		0.00023
 47,		0.00023,		0.00023,		0.00023
 48,		0.00023,		0.00023,		0.00023
 49,		0.00023,		0.00023,		0.00023
 50,		0.00023,		0.00023,		0.00023
 51,		0.00001,		0.00023,		0.00023
 52,		0.00001,		0.00018,		0.00023
 53,		0.00001,		0.00010,		0.00023
 54,		0.00001,		0.00001,		0.00001
 55,		0.00001,		0.00001,		0.00001
 56,		0.00001,		0.00001,		0.00001
 57,		0.00000,		0.00001,		0.00001
 58,		0.00000,		0.00001,		0.00001
 59,		0.00000,		0.00000,		0.00001
 60,		0.00000,		0.00000,		0.00000
 61,		0.00000,		0.00000,		0.00000
 62,		0.00000,		0.00000,		0.00000
 63,		0.00000,		0.00000,		0.00000
 64,		0.00000,		0.00000,		0.00000
 65,		0.00000,		0.00000,		0.00000
 66,		0.00000,		0.00000,		0.00000
 67,		0.00000,		0.00000,		0.00000
 68,		0.00000,		0.00000,		0.00000
 69,		0.00000,		0.00000,		0.00000
 70,		0.00000,		0.00000,		0.00000
 71,		0.00000,		0.00000,		0.00000
 72,		0.00000,		0.00000,		0.00000
 73,		0.00000,		0.00000,		0.00000
 74,		0.00000,		0.00000,		0.00000
 75,		0.00000,		0.00000,		0.00000
 76,		0.00000,		0.00000,		0.00000
 77,		0.00000,		0.00000,		0.00000
 78,		0.00000,		0.00000,		0.00000
 79,		0.00000,		0.00000,		0.00000
 80,		0.00000,		0.00000,		0.00000
 81,		0.00000,		0.00000,		0.00000
 82,		0.00000,		0.00000,		0.00000
 83,		0.00000,		0.00000,		0.00000
 84,		0.00000,		0.00000,		0.00000
 85,		0.00000,		0.00000,		0.00000
 86,		0.00000,		0.00000,		0.00000
 87,		0.00000,		0.00000,		0.00000
 88,		0.00000,		0.00000,		0.00000
 89,		0.00000,		0.00000,		0.00000
 90,		0.00000,		0.00000,		0.00000
 91,		0.00000,		0.00000,		0.00000
 92,		0.00000,		0.00000,		0.00000
 93,		0.00000,		0.00000,		0.00000
 94,		0.00000,		0.00000,		0.00000
 95,		0.00000,		0.00000,		0.00000
 96,		0.00000,		0.00000,		0.00000
 97,		0.00000,		0.00000,		0.00000
 98,		0.00000,		0.00000,		0.00000
 99,		0.00000,		0.00000,		0.00000
100,		0.00000,		0.00000,		0.00000
101,		0.00000,		0.00000,		0.00000
102,		0.00000,		0.00000,		0.00000
103,		0.00000,		0.00000,		0.00000
104,		0.00000,		0.00000,		0.00000
105,		0.00000,		0.00000,		0.00000
106,		0.00000,		0.00000,		0.00000
107,		0.00000,		0.00000,		0.00000
108,		0.00000,		0.00000,		0.00000
109,		0.00000,		0.00000,		0.00000
110,		0.00000,		0.00000,		0.00000
111,		0.00000,		0.00000,		0.00000
112,		0.00000,		0.00000,		0.00000
113,		0.00000,		0.00000,		0.00000
114,		0.00000,		0.00000,		0.00000
115,		0.00000,		0.00000,		0.00000
116,		0.00000,		0.00000,		0.00000
117,		0.00000,		0.00000,		0.00000
118,		0.00000,		0.00000,		0.00000
119,		0.00000,		0.00000,		0.00000
120,		0.00000,		0.00000,		0.00000
121,		0.00000,		0.00000,		0.00000
122,		0.00000,		0.00000,		0.00000
123,		0.00000,		0.00000,		0.00000
124,		0.00000,		0.00000,		0.00000
125,		0.00000,		0.00000,		0.00000
126,		0.00000,		0.00000,		0.00000
127,		0.00000,		0.00000,		0.00000
128,		0.00000,		0.00000,		0.00000
129,		0.00000,		0.00000,		0.00000
130,		0.00000,		0.00000,		0.00000
131,		0.00000,		0.00000,		0.00000
132,		0.00000,		0.00000,		0.00000
133,		0.00000,		0.00000,		0.00000
134,		0.00000,		0.00000,		0.00000
135,		0.00000,		0.00000,		0.00000
136,		0.00000,		0.00000,		0.00000
137,		0.00000,		0.00000,		0.00000
138,		0.00000,		0.00000,		0.00000
139,		0.00000,		0.00000,		0.00000
140,		0.00000,		0.00000,		0.00000
141,		0.00000,		0.00000,		0.00000
142,		0.00000,		0.00000,		0.00000
143,		0.00000,		0.00000,		0.00000
144,		0.00000,		0.00000,		0.00000
145,		0.00000,		0.00000,		0.00000
146,		0.00000,		0.00000,		0.00000
147,		0.00000,		0.00000,		0.00000
148,		0.00000,		0.00000,		0.00000
149,		0.00000,		0.00000,		0.00000
