GEN,	MIN,			AVE,			MAX,			CONV_A
  0,		908.70,		3431.53,		3905.03,		1.00
  1,		3698.46,		3834.89,		3905.37,		1.00
  2,		3864.54,		3892.54,		3905.59,		1.00
  3,		3895.45,		3902.84,		3905.67,		1.00
  4,		3904.28,		3905.32,		3905.71,		1.00
  5,		3905.55,		3905.64,		3905.73,		1.00
  6,		3905.66,		3905.70,		3905.73,		1.00
  7,		3905.71,		3905.72,		3905.74,		1.00
  8,		3905.73,		3905.73,		3905.74,		1.00
  9,		3905.73,		3905.74,		3905.74,		1.00
 10,		3905.74,		3905.74,		3905.74,		1.00
 11,		3905.74,		3905.74,		3905.75,		1.00
 12,		3905.74,		3905.74,		3905.75,		1.00
 13,		3905.75,		3905.75,		3905.75,		1.00
 14,		3905.75,		3905.75,		3905.75,		1.00
 15,		3905.75,		3905.75,		3905.75,		1.00
 16,		3905.75,		3905.75,		3905.75,		1.00
 17,		3905.75,		3905.75,		3905.75,		1.00
 18,		3905.75,		3905.75,		3905.75,		1.00
 19,		3905.75,		3905.75,		3905.75,		1.00
 20,		3905.75,		3905.75,		3905.75,		1.00
 21,		3905.75,		3905.75,		3905.75,		1.00
 22,		3905.75,		3905.75,		3905.75,		1.00
 23,		3905.75,		3905.75,		3905.75,		1.00
 24,		3905.75,		3905.75,		3905.75,		1.00
 25,		3905.75,		3905.75,		3905.75,		1.00
 26,		3905.75,		3905.75,		3905.75,		1.00
 27,		3905.75,		3905.75,		3905.75,		1.00
 28,		3905.75,		3905.75,		3905.75,		1.00
 29,		3905.75,		3905.75,		3905.75,		1.00
 30,		3905.75,		3905.75,		3905.75,		1.00
 31,		3905.75,		3905.75,		3905.75,		1.00
 32,		3905.75,		3905.75,		3905.75,		1.00
 33,		3905.75,		3905.75,		3905.75,		1.00
 34,		3905.75,		3905.75,		3905.75,		1.00
 35,		3905.75,		3905.75,		3905.75,		1.00
 36,		3905.75,		3905.75,		3905.75,		1.00
 37,		3905.75,		3905.75,		3905.75,		1.00
 38,		3905.75,		3905.75,		3905.75,		1.00
 39,		3905.75,		3905.75,		3905.75,		1.00
 40,		3905.75,		3905.75,		3905.75,		1.00
 41,		3905.75,		3905.75,		3905.75,		1.00
 42,		3905.75,		3905.75,		3905.75,		1.00
 43,		3905.75,		3905.75,		3905.75,		1.00
 44,		3905.75,		3905.75,		3905.75,		1.00
 45,		3905.75,		3905.75,		3905.75,		1.00
 46,		3905.75,		3905.75,		3905.75,		1.00
 47,		3905.75,		3905.75,		3905.75,		1.00
 48,		3905.75,		3905.75,		3905.75,		1.00
 49,		3905.75,		3905.75,		3905.75,		1.00
 50,		3905.75,		3905.75,		3905.75,		1.00
 51,		3905.75,		3905.75,		3905.75,		1.00
 52,		3905.75,		3905.75,		3905.75,		1.00
 53,		3905.75,		3905.75,		3905.75,		1.00
 54,		3905.75,		3905.75,		3905.75,		1.00
