RANDOM_SEED, 1698991715
GEN,		MIN,			AVE,			MAX,
0,		-21.00,		-1.92,		16.00,
1,		-21.00,		-6.71,		-2.00,
2,		-26.00,		-15.21,		-9.00,
3,		-27.00,		-22.68,		-18.00,
4,		-28.00,		-25.19,		-22.00,
5,		-28.00,		-26.91,		-26.00,
6,		-28.00,		-27.66,		-27.00,
7,		-28.00,		-28.00,		-28.00,
8,		-29.00,		-28.00,		-28.00,
9,		-29.00,		-28.26,		-28.00,
10,		-29.00,		-28.57,		-28.00,
11,		-29.00,		-29.00,		-29.00,
12,		-29.00,		-29.00,		-29.00,
13,		-29.00,		-29.00,		-29.00,
14,		-29.00,		-29.00,		-29.00,
15,		-29.00,		-29.00,		-29.00,
16,		-29.00,		-29.00,		-29.00,
17,		-29.00,		-29.00,		-29.00,
18,		-29.00,		-29.00,		-29.00,
19,		-29.00,		-29.00,		-29.00,
20,		-29.00,		-29.00,		-29.00,
21,		-29.00,		-29.00,		-29.00,
22,		-29.00,		-29.00,		-29.00,
23,		-29.00,		-29.00,		-29.00,
24,		-29.00,		-29.00,		-29.00,
25,		-29.00,		-29.00,		-29.00,
26,		-29.00,		-29.00,		-29.00,
27,		-29.00,		-29.00,		-29.00,
28,		-29.00,		-29.00,		-29.00,
29,		-29.00,		-29.00,		-29.00,
30,		-29.00,		-29.00,		-29.00,
31,		-29.00,		-29.00,		-29.00,
32,		-29.00,		-29.00,		-29.00,
33,		-29.00,		-29.00,		-29.00,
34,		-29.00,		-29.00,		-29.00,
35,		-29.00,		-29.00,		-29.00,
36,		-29.00,		-29.00,		-29.00,
37,		-29.00,		-29.00,		-29.00,
38,		-29.00,		-29.00,		-29.00,
39,		-29.00,		-29.00,		-29.00,
40,		-29.00,		-29.00,		-29.00,
41,		-29.00,		-29.00,		-29.00,
42,		-29.00,		-29.00,		-29.00,
43,		-29.00,		-29.00,		-29.00,
44,		-29.00,		-29.00,		-29.00,
45,		-29.00,		-29.00,		-29.00,
46,		-29.00,		-29.00,		-29.00,
47,		-29.00,		-29.00,		-29.00,
48,		-29.00,		-29.00,		-29.00,
49,		-29.00,		-29.00,		-29.00,
50,		-29.00,		-29.00,		-29.00,
51,		-29.00,		-29.00,		-29.00,
52,		-29.00,		-29.00,		-29.00,
53,		-29.00,		-29.00,		-29.00,
