GEN,	MIN,			AVE,			MAX,
  0,		-21.50,		-2.47,		16.13
  1,		-21.80,		-8.30,		-3.33
  2,		-24.43,		-14.88,		-9.63
  3,		-25.87,		-20.64,		-16.30
  4,		-26.83,		-24.17,		-21.87
  5,		-27.40,		-25.87,		-24.83
  6,		-27.93,		-26.86,		-26.30
  7,		-28.27,		-27.46,		-27.03
  8,		-28.50,		-27.96,		-27.63
  9,		-28.53,		-28.30,		-28.00
 10,		-28.60,		-28.47,		-28.43
 11,		-28.63,		-28.56,		-28.47
 12,		-28.67,		-28.61,		-28.60
 13,		-28.70,		-28.64,		-28.60
 14,		-28.73,		-28.68,		-28.63
 15,		-28.77,		-28.72,		-28.70
 16,		-28.80,		-28.75,		-28.70
 17,		-28.80,		-28.77,		-28.73
 18,		-28.83,		-28.80,		-28.80
 19,		-28.83,		-28.82,		-28.80
 20,		-28.87,		-28.83,		-28.83
 21,		-28.87,		-28.84,		-28.83
 22,		-28.87,		-28.85,		-28.83
 23,		-28.87,		-28.87,		-28.87
 24,		-28.87,		-28.87,		-28.87
 25,		-28.90,		-28.87,		-28.87
 26,		-28.90,		-28.87,		-28.87
 27,		-28.90,		-28.88,		-28.87
 28,		-28.90,		-28.90,		-28.90
 29,		-28.90,		-28.90,		-28.90
 30,		-28.90,		-28.90,		-28.90
 31,		-28.93,		-28.90,		-28.90
 32,		-28.93,		-28.92,		-28.90
 33,		-28.93,		-28.93,		-28.93
 34,		-28.93,		-28.93,		-28.93
 35,		-28.93,		-28.93,		-28.93
 36,		-28.93,		-28.93,		-28.93
 37,		-28.93,		-28.93,		-28.93
 38,		-28.93,		-28.93,		-28.93
 39,		-28.93,		-28.93,		-28.93
 40,		-28.93,		-28.93,		-28.93
 41,		-28.97,		-28.93,		-28.93
 42,		-28.97,		-28.95,		-28.93
 43,		-28.97,		-28.97,		-28.97
 44,		-29.00,		-28.97,		-28.97
 45,		-29.00,		-28.98,		-28.97
 46,		-29.00,		-29.00,		-29.00
 47,		-29.00,		-29.00,		-29.00
 48,		-29.00,		-29.00,		-29.00
 49,		-29.00,		-29.00,		-29.00
 50,		-29.00,		-29.00,		-29.00
 51,		-29.00,		-29.00,		-29.00
 52,		-29.00,		-29.00,		-29.00
 53,		-29.00,		-29.00,		-29.00
 54,		-29.00,		-29.00,		-29.00
 55,		-29.00,		-29.00,		-29.00
 56,		-29.00,		-29.00,		-29.00
 57,		-29.00,		-29.00,		-29.00
 58,		-29.00,		-29.00,		-29.00
 59,		-29.00,		-29.00,		-29.00
 60,		-29.00,		-29.00,		-29.00
 61,		-29.00,		-29.00,		-29.00
 62,		-29.00,		-29.00,		-29.00
 63,		-29.00,		-29.00,		-29.00
 64,		-29.00,		-29.00,		-29.00
 65,		-29.00,		-29.00,		-29.00
 66,		-29.00,		-29.00,		-29.00
 67,		-29.00,		-29.00,		-29.00
 68,		-29.00,		-29.00,		-29.00
 69,		-29.00,		-29.00,		-29.00
 70,		-29.00,		-29.00,		-29.00
 71,		-29.03,		-29.00,		-29.00
 72,		-29.03,		-29.02,		-29.00
 73,		-29.03,		-29.03,		-29.03
 74,		-29.03,		-29.03,		-29.03
 75,		-29.03,		-29.03,		-29.03
 76,		-29.03,		-29.03,		-29.03
 77,		-29.10,		-29.03,		-29.03
 78,		-29.10,		-29.06,		-29.03
 79,		-29.10,		-29.10,		-29.10
 80,		-29.10,		-29.10,		-29.10
 81,		-29.10,		-29.10,		-29.10
 82,		-29.10,		-29.10,		-29.10
 83,		-29.10,		-29.10,		-29.10
 84,		-29.10,		-29.10,		-29.10
 85,		-29.10,		-29.10,		-29.10
 86,		-29.10,		-29.10,		-29.10
 87,		-29.10,		-29.10,		-29.10
 88,		-29.10,		-29.10,		-29.10
 89,		-29.10,		-29.10,		-29.10
 90,		-29.10,		-29.10,		-29.10
 91,		-29.10,		-29.10,		-29.10
 92,		-29.13,		-29.10,		-29.10
 93,		-29.13,		-29.11,		-29.10
 94,		-29.13,		-29.12,		-29.10
 95,		-29.13,		-29.13,		-29.13
 96,		-29.13,		-29.13,		-29.13
 97,		-29.13,		-29.13,		-29.13
 98,		-29.13,		-29.13,		-29.13
 99,		-29.13,		-29.13,		-29.13
100,		-29.13,		-29.13,		-29.13
101,		-29.13,		-29.13,		-29.13
102,		-29.13,		-29.13,		-29.13
103,		-29.13,		-29.13,		-29.13
104,		-29.13,		-29.13,		-29.13
105,		-29.13,		-29.13,		-29.13
106,		-29.17,		-29.13,		-29.13
107,		-29.17,		-29.15,		-29.13
108,		-29.17,		-29.17,		-29.17
109,		-29.17,		-29.17,		-29.17
110,		-29.17,		-29.17,		-29.17
111,		-29.17,		-29.17,		-29.17
112,		-29.17,		-29.17,		-29.17
113,		-29.17,		-29.17,		-29.17
114,		-29.17,		-29.17,		-29.17
115,		-29.17,		-29.17,		-29.17
116,		-29.17,		-29.17,		-29.17
117,		-29.17,		-29.17,		-29.17
118,		-29.17,		-29.17,		-29.17
119,		-29.20,		-29.17,		-29.17
120,		-29.20,		-29.18,		-29.17
121,		-29.20,		-29.19,		-29.17
122,		-29.20,		-29.20,		-29.20
123,		-29.20,		-29.20,		-29.20
124,		-29.20,		-29.20,		-29.20
125,		-29.20,		-29.20,		-29.20
126,		-29.20,		-29.20,		-29.20
127,		-29.20,		-29.20,		-29.20
128,		-29.20,		-29.20,		-29.20
129,		-29.20,		-29.20,		-29.20
130,		-29.23,		-29.20,		-29.20
131,		-29.23,		-29.22,		-29.20
132,		-29.27,		-29.23,		-29.23
133,		-29.27,		-29.24,		-29.23
134,		-29.27,		-29.26,		-29.23
135,		-29.27,		-29.27,		-29.27
136,		-29.27,		-29.27,		-29.27
137,		-29.27,		-29.27,		-29.27
