RANDOM_SEED, 1698986435
GEN,		MIN,				AVE,				MAX,			CONV,					CONV_ACT,
  0,		910.98,		3383.59,		3905.71,				1.15431,				0.99995
  1,		869.28,		3461.94,		3898.49,				1.12610,				0.99810
  2,		1940.90,		3295.36,		3901.81,				1.18403,				0.99895
  3,		1909.37,		3327.41,		3901.81,				1.17262,				0.99895
  4,		1889.65,		3085.04,		3896.90,				1.26316,				0.99769
  5,		1992.03,		3348.13,		3897.03,				1.16394,				0.99772
  6,		2588.15,		3429.12,		3881.91,				1.13204,				0.99385
  7,		2523.59,		3250.87,		3865.33,				1.18901,				0.98961
  8,		2512.64,		3416.72,		3897.53,				1.14072,				0.99785
  9,		2302.01,		2993.05,		3727.22,				1.24529,				0.95425
 10,		2302.01,		3291.29,		3898.80,				1.18458,				0.99817
 11,		2302.01,		2945.97,		3560.79,				1.20870,				0.91164
 12,		2506.49,		2881.51,		3560.69,				1.23570,				0.91161
 13,		2570.70,		2948.82,		3566.47,				1.20946,				0.91309
 14,		2570.70,		3295.98,		3566.47,				1.08207,				0.91309
 15,		2570.70,		3138.91,		3566.47,				1.13621,				0.91309
 16,		2576.57,		3379.81,		3724.40,				1.10196,				0.95353
 17,		2985.95,		3195.86,		3855.63,				1.20645,				0.98712
 18,		2985.95,		3393.92,		3560.93,				1.04921,				0.91167
 19,		2985.95,		3306.31,		3560.79,				1.07697,				0.91164
 20,		2798.89,		3159.61,		3855.63,				1.22029,				0.98712
 21,		2906.81,		3206.45,		3855.63,				1.20246,				0.98712
 22,		2985.95,		3416.48,		3855.63,				1.12854,				0.98712
 23,		2985.95,		3464.46,		3835.77,				1.10718,				0.98204
 24,		2985.95,		3531.23,		3560.65,				1.00833,				0.91160
 25,		2985.95,		3537.64,		3566.47,				1.00815,				0.91309
 26,		2985.95,		3556.27,		3724.40,				1.04728,				0.95353
 27,		2985.95,		3556.47,		3724.40,				1.04722,				0.95353
 28,		3560.56,		3562.20,		3724.40,				1.04553,				0.95353
 29,		3560.56,		3563.84,		3724.40,				1.04505,				0.95353
 30,		3560.56,		3563.96,		3724.40,				1.04502,				0.95353
 31,		3560.37,		3560.62,		3563.52,				1.00082,				0.91234
 32,		3428.97,		3563.67,		3835.77,				1.07635,				0.98204
 33,		3560.56,		3561.45,		3649.04,				1.02460,				0.93423
 34,		3560.56,		3562.48,		3649.04,				1.02430,				0.93423
 35,		3560.56,		3562.35,		3649.04,				1.02433,				0.93423
 36,		3428.97,		3560.16,		3649.04,				1.02497,				0.93423
 37,		3428.97,		3558.78,		3649.04,				1.02536,				0.93423
 38,		3428.97,		3559.27,		3649.04,				1.02522,				0.93423
 39,		3428.97,		3559.26,		3561.65,				1.00067,				0.91186
 40,		3559.07,		3563.34,		3835.77,				1.07645,				0.98204
 41,		3428.97,		3558.39,		3561.20,				1.00079,				0.91174
 42,		2985.95,		3554.40,		3560.60,				1.00175,				0.91159
 43,		2985.95,		3554.68,		3560.60,				1.00167,				0.91159
 44,		3548.48,		3560.38,		3560.93,				1.00015,				0.91167
 45,		3548.48,		3561.93,		3724.40,				1.04561,				0.95353
 46,		3428.97,		3560.89,		3724.40,				1.04592,				0.95353
 47,		3560.37,		3564.98,		3835.77,				1.07596,				0.98204
 48,		3560.56,		3563.23,		3724.40,				1.04523,				0.95353
 49,		3560.56,		3564.88,		3724.40,				1.04475,				0.95353
 50,		3559.07,		3566.48,		3724.40,				1.04428,				0.95353
 51,		3560.56,		3587.94,		3724.66,				1.03810,				0.95359
 52,		3559.07,		3583.69,		3724.66,				1.03934,				0.95359
 53,		3556.08,		3574.87,		3835.77,				1.07298,				0.98204
 54,		3556.08,		3567.81,		3835.77,				1.07510,				0.98204
 55,		3559.42,		3564.25,		3649.34,				1.02387,				0.93431
 56,		2996.42,		3556.01,		3649.34,				1.02624,				0.93431
 57,		3523.47,		3560.34,		3561.65,				1.00037,				0.91186
 58,		3523.47,		3560.45,		3560.98,				1.00015,				0.91169
 59,		2985.95,		3554.53,		3572.34,				1.00501,				0.91459
 60,		2985.95,		3554.40,		3560.90,				1.00183,				0.91167
 61,		2985.95,		3359.75,		3563.14,				1.06054,				0.91224
 62,		2985.95,		3468.69,		3563.14,				1.02723,				0.91224
 63,		2985.95,		3503.18,		3563.52,				1.01723,				0.91234
 64,		3560.37,		3563.42,		3835.77,				1.07643,				0.98204
 65,		3560.56,		3560.68,		3566.47,				1.00163,				0.91309
 66,		3560.56,		3560.64,		3563.52,				1.00081,				0.91234
 67,		3560.56,		3561.18,		3564.61,				1.00096,				0.91261
 68,		3560.56,		3560.98,		3563.14,				1.00061,				0.91224
 69,		3428.97,		3559.45,		3563.14,				1.00104,				0.91224
 70,		3428.97,		3559.24,		3563.14,				1.00110,				0.91224
 71,		3556.08,		3560.57,		3563.14,				1.00072,				0.91224
 72,		3556.08,		3560.49,		3561.65,				1.00032,				0.91186
 73,		3536.39,		3560.31,		3563.52,				1.00090,				0.91234
 74,		3511.40,		3562.85,		3835.77,				1.07660,				0.98204
 75,		3536.39,		3563.07,		3835.77,				1.07653,				0.98204
 76,		3536.39,		3560.35,		3563.14,				1.00078,				0.91224
 77,		3536.39,		3561.83,		3724.40,				1.04564,				0.95353
 78,		3536.39,		3561.72,		3724.40,				1.04568,				0.95353
 79,		3536.39,		3562.01,		3724.40,				1.04559,				0.95353
 80,		2985.95,		3554.82,		3561.30,				1.00182,				0.91177
 81,		2985.95,		3553.51,		3561.65,				1.00229,				0.91186
 82,		2985.95,		3554.94,		3572.34,				1.00489,				0.91459
 83,		3523.47,		3560.21,		3563.57,				1.00094,				0.91235
 84,		2985.95,		3554.79,		3560.79,				1.00169,				0.91164
 85,		3548.48,		3560.27,		3560.90,				1.00018,				0.91167
 86,		2985.95,		3554.54,		3561.30,				1.00190,				0.91177
 87,		3536.39,		3561.68,		3724.40,				1.04569,				0.95353
 88,		3428.97,		3558.74,		3561.30,				1.00072,				0.91177
 89,		3535.51,		3565.56,		3835.77,				1.07578,				0.98204
 90,		3536.39,		3563.07,		3835.77,				1.07653,				0.98204
 91,		3559.07,		3562.25,		3724.40,				1.04552,				0.95353
 92,		3560.56,		3560.60,		3563.52,				1.00082,				0.91234
 93,		3511.40,		3560.10,		3563.52,				1.00096,				0.91234
 94,		3511.40,		3560.04,		3563.52,				1.00098,				0.91234
 95,		3428.97,		3559.74,		3724.40,				1.04626,				0.95353
 96,		3428.97,		3558.53,		3563.14,				1.00129,				0.91224
 97,		3560.56,		3560.60,		3563.52,				1.00082,				0.91234
 98,		3560.56,		3560.60,		3563.52,				1.00082,				0.91234
 99,		3560.56,		3560.56,		3560.79,				1.00007,				0.91164
100,		3556.08,		3560.53,		3561.65,				1.00031,				0.91186
101,		3556.08,		3562.11,		3724.40,				1.04556,				0.95353
102,		3394.51,		3556.47,		3561.65,				1.00146,				0.91186
103,		3394.51,		3557.65,		3561.65,				1.00112,				0.91186
104,		3556.08,		3558.07,		3561.20,				1.00088,				0.91174
105,		3505.75,		3557.07,		3561.20,				1.00116,				0.91174
106,		3556.08,		3557.57,		3560.79,				1.00091,				0.91164
107,		3506.62,		3555.81,		3560.56,				1.00134,				0.91158
108,		3506.62,		3555.63,		3560.56,				1.00139,				0.91158
109,		3555.70,		3556.23,		3567.30,				1.00311,				0.91330
110,		3506.62,		3555.45,		3567.30,				1.00333,				0.91330
111,		3531.76,		3555.96,		3567.30,				1.00319,				0.91330
112,		3555.70,		3557.96,		3721.12,				1.04586,				0.95268
113,		3506.62,		3557.50,		3721.12,				1.04599,				0.95268
114,		3506.62,		3557.36,		3721.12,				1.04603,				0.95268
115,		3531.76,		3559.05,		3567.93,				1.00249,				0.91347
116,		3531.76,		3563.11,		3573.15,				1.00282,				0.91480
117,		3531.76,		3561.99,		3573.15,				1.00313,				0.91480
118,		3556.08,		3562.52,		3573.15,				1.00298,				0.91480
119,		3556.08,		3562.28,		3573.15,				1.00305,				0.91480
120,		3556.08,		3562.47,		3573.15,				1.00300,				0.91480
