GEN,	MIN,			AVE,			MAX,			CONV_A
  0,		14.17,		32.48,		51.43,		0.86
  1,		15.67,		32.38,		50.77,		0.85
  2,		17.47,		33.78,		50.63,		0.84
  3,		19.30,		32.82,		49.03,		0.82
  4,		20.67,		33.74,		48.37,		0.81
  5,		21.93,		34.50,		47.50,		0.79
  6,		22.40,		35.09,		47.43,		0.79
  7,		23.77,		35.23,		47.10,		0.79
  8,		24.73,		35.00,		45.80,		0.76
  9,		24.97,		35.15,		44.50,		0.74
 10,		26.07,		35.15,		44.17,		0.74
 11,		26.87,		34.83,		43.97,		0.73
 12,		27.17,		35.45,		43.67,		0.73
 13,		27.67,		35.17,		43.03,		0.72
 14,		27.70,		35.39,		43.10,		0.72
 15,		28.60,		35.54,		42.83,		0.71
 16,		28.80,		35.40,		42.70,		0.71
 17,		29.00,		35.80,		42.43,		0.71
 18,		29.13,		36.02,		41.90,		0.70
 19,		28.70,		36.03,		41.83,		0.70
 20,		28.57,		36.23,		41.90,		0.70
 21,		29.47,		36.31,		42.33,		0.71
 22,		29.03,		36.16,		42.10,		0.70
 23,		29.97,		36.23,		41.77,		0.70
 24,		29.23,		36.12,		41.53,		0.69
 25,		29.47,		36.54,		42.27,		0.70
 26,		29.70,		36.74,		42.27,		0.70
 27,		30.00,		36.84,		42.57,		0.71
 28,		30.00,		36.91,		42.80,		0.71
 29,		30.03,		36.87,		42.93,		0.72
 30,		30.30,		36.93,		42.30,		0.70
 31,		29.57,		36.77,		42.77,		0.71
 32,		28.93,		36.83,		43.00,		0.72
 33,		29.93,		36.75,		43.03,		0.72
 34,		30.67,		36.85,		42.50,		0.71
 35,		30.10,		36.73,		42.17,		0.70
 36,		30.47,		36.95,		42.37,		0.71
 37,		30.03,		36.82,		42.23,		0.70
 38,		29.83,		36.77,		42.33,		0.71
 39,		30.20,		36.89,		42.53,		0.71
 40,		30.20,		36.96,		42.80,		0.71
 41,		30.20,		36.86,		42.73,		0.71
 42,		29.50,		36.99,		42.90,		0.71
 43,		30.50,		37.17,		43.27,		0.72
 44,		29.80,		37.12,		42.97,		0.72
 45,		30.73,		37.00,		43.07,		0.72
 46,		29.67,		37.10,		42.40,		0.71
 47,		29.47,		36.89,		42.93,		0.72
 48,		29.63,		36.92,		42.90,		0.71
 49,		29.70,		36.88,		42.40,		0.71
 50,		29.93,		37.07,		42.60,		0.71
 51,		30.07,		37.10,		42.23,		0.70
 52,		31.03,		37.18,		42.60,		0.71
 53,		30.47,		37.22,		42.53,		0.71
 54,		29.73,		37.17,		42.07,		0.70
 55,		30.80,		37.21,		42.13,		0.70
 56,		30.13,		37.23,		42.50,		0.71
 57,		29.97,		37.07,		42.87,		0.71
 58,		30.20,		37.04,		42.20,		0.70
