GEN,		MIN,				AVE,				MAX,				EXTINCT,		CONV,				SEMI,		SUPER,	T_SEMI,	T_SUPER,	L_L,			L_W,		L_a,		K_L,		K_W,		K_A,		H_L,		H_W,		H_A,		B1_L,		B1_W,		B1_A,		B2_L,		B2_W,		B2_A,		B3_L,		B3_W,		B3_A,
  0,		45637.12,		48073.81,		49216.71,		0,					1.02377,		0,			0,			0,			0,				14.54,		9.69,		140.93,		8.71,		11.54,		83.26,		5.5,		3.58,		19.69,		15.53,		10.35,		160.81,		15.05,		10.03,		150.95,		15.05,		10.03,		150.95
  1,		48060.45,		48784.43,		49256.36,		0,					1.00967,		0,			0,			0,			0,				17.71,		11.81,		209.20,		10.60,		7.67,		57.77,		5.5,		4.95,		27.23,		15.13,		10.09,		152.67,		13.60,		9.07,		123.36,		12.57,		8.38,		105.36
  2,		48988.87,		49130.94,		49333.30,		0,					1.00412,		0,			0,			0,			0,				13.90,		9.27,		128.89,		10.77,		7.50,		56.73,		5.5,		4.95,		27.23,		15.13,		10.09,		152.67,		14.02,		9.34,		130.96,		12.38,		8.25,		102.19
  3,		49125.97,		49219.34,		49333.30,		0,					1.00232,		0,			0,			0,			0,				13.90,		9.27,		128.89,		10.77,		7.50,		56.73,		5.5,		4.95,		27.23,		15.13,		10.09,		152.67,		14.02,		9.34,		130.96,		12.38,		8.25,		102.19
  4,		49197.98,		49265.84,		49340.80,		0,					1.00152,		0,			0,			0,			0,				13.78,		9.19,		126.55,		11.11,		7.16,		54.64,		5.5,		4.95,		27.23,		15.00,		10.00,		150.00,		14.02,		9.34,		130.96,		12.38,		8.25,		102.19
  5,		49242.29,		49287.89,		49340.80,		0,					1.00107,		0,			0,			0,			0,				13.78,		9.19,		126.55,		11.11,		7.16,		54.64,		5.5,		4.95,		27.23,		15.00,		10.00,		150.00,		14.02,		9.34,		130.96,		12.38,		8.25,		102.19
  6,		49264.99,		49304.52,		49342.72,		0,					1.00077,		0,			0,			0,			0,				13.78,		9.19,		126.55,		11.11,		7.16,		54.64,		5.5,		4.95,		27.23,		15.00,		10.00,		150.00,		13.91,		9.28,		129.04,		12.38,		8.25,		102.19
  7,		49287.44,		49316.38,		49349.37,		0,					1.00067,		0,			0,			0,			0,				13.78,		9.19,		126.55,		11.11,		7.16,		54.64,		5.5,		3.74,		20.58,		15.00,		10.00,		150.00,		13.91,		9.28,		129.04,		12.38,		8.25,		102.19
  8,		49298.42,		49322.00,		49349.37,		0,					1.00055,		0,			0,			0,			0,				13.78,		9.19,		126.55,		11.11,		7.16,		54.64,		5.5,		3.74,		20.58,		15.00,		10.00,		150.00,		13.91,		9.28,		129.04,		12.38,		8.25,		102.19
  9,		49307.31,		49327.29,		49350.47,		0,					1.00047,		0,			0,			0,			0,				13.78,		9.19,		126.55,		10.43,		7.16,		53.95,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		14.02,		9.34,		130.96,		12.38,		8.25,		102.19
 10,		49313.13,		49329.21,		49350.47,		0,					1.00043,		0,			0,			0,			0,				13.78,		9.19,		126.55,		10.43,		7.16,		53.95,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		14.02,		9.34,		130.96,		12.38,		8.25,		102.19
 11,		49318.04,		49331.32,		49350.47,		0,					1.00039,		0,			0,			0,			0,				13.78,		9.19,		126.55,		10.43,		7.16,		53.95,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		14.02,		9.34,		130.96,		12.38,		8.25,		102.19
 12,		49321.94,		49332.16,		49350.47,		0,					1.00037,		0,			0,			0,			0,				13.78,		9.19,		126.55,		10.43,		7.16,		53.95,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		14.02,		9.34,		130.96,		12.38,		8.25,		102.19
 13,		49324.69,		49335.32,		49364.79,		0,					1.00060,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		13.60,		9.07,		123.36,		12.38,		8.25,		102.19
 14,		49325.25,		49336.26,		49364.79,		0,					1.00058,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		13.60,		9.07,		123.36,		12.38,		8.25,		102.19
 15,		49326.40,		49337.17,		49364.79,		0,					1.00056,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		13.60,		9.07,		123.36,		12.38,		8.25,		102.19
 16,		49327.48,		49337.99,		49364.79,		0,					1.00054,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		13.60,		9.07,		123.36,		12.38,		8.25,		102.19
 17,		49329.56,		49338.36,		49364.79,		0,					1.00054,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		13.60,		9.07,		123.36,		12.38,		8.25,		102.19
 18,		49331.12,		49340.55,		49364.79,		0,					1.00049,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.27,		10.18,		155.36,		13.60,		9.07,		123.36,		12.38,		8.25,		102.19
 19,		49333.30,		49343.84,		49372.01,		0,					1.00057,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 20,		49336.58,		49346.89,		49372.01,		0,					1.00051,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 21,		49338.45,		49349.96,		49372.01,		0,					1.00045,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.25,		7.16,		53.78,		5.5,		3.74,		20.58,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 22,		49341.83,		49352.31,		49373.93,		0,					1.00044,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 23,		49342.72,		49353.14,		49373.93,		0,					1.00042,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 24,		49344.68,		49354.76,		49373.93,		0,					1.00039,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 25,		49347.01,		49356.91,		49373.93,		0,					1.00034,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 26,		49349.20,		49358.23,		49373.93,		0,					1.00032,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 27,		49350.86,		49359.16,		49373.93,		0,					1.00030,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 28,		49351.89,		49359.68,		49373.93,		0,					1.00029,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 29,		49352.79,		49360.66,		49373.93,		0,					1.00027,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 30,		49354.05,		49361.98,		49373.93,		0,					1.00024,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.48,		8.32,		103.77
 31,		49356.08,		49362.94,		49375.51,		0,					1.00025,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 32,		49356.30,		49363.71,		49375.51,		0,					1.00024,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 33,		49357.18,		49363.88,		49375.51,		0,					1.00024,		0,			0,			0,			0,				13.52,		9.02,		121.93,		10.17,		7.07,		53.08,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 34,		49357.93,		49365.21,		49376.09,		0,					1.00022,		0,			0,			0,			0,				13.52,		9.02,		121.93,		9.82,		7.07,		52.74,		5.5,		4.23,		23.24,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 35,		49359.38,		49366.25,		49376.09,		0,					1.00020,		0,			0,			0,			0,				13.52,		9.02,		121.93,		9.82,		7.07,		52.74,		5.5,		4.23,		23.24,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 36,		49359.81,		49366.84,		49376.09,		0,					1.00019,		0,			0,			0,			0,				13.52,		9.02,		121.93,		9.82,		7.07,		52.74,		5.5,		4.23,		23.24,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 37,		49360.02,		49367.17,		49376.09,		0,					1.00018,		0,			0,			0,			0,				13.52,		9.02,		121.93,		9.82,		7.07,		52.74,		5.5,		4.23,		23.24,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
 38,		49360.46,		49367.45,		49376.09,		0,					1.00018,		0,			0,			0,			0,				13.52,		9.02,		121.93,		9.82,		7.07,		52.74,		5.5,		4.23,		23.24,		15.00,		10.00,		150.00,		13.50,		9.00,		121.50,		12.38,		8.25,		102.19
