GEN,		MIN,			AVE,			MAX,
0,		65.03,		72.69,		78.01,
1,		73.02,		75.31,		78.13,
2,		75.33,		76.60,		78.31,
3,		76.46,		77.29,		78.41,
4,		77.17,		77.77,		78.45,
5,		77.67,		78.05,		78.49,
6,		77.99,		78.21,		78.51,
7,		78.14,		78.31,		78.54,
8,		78.25,		78.38,		78.55,
9,		78.34,		78.44,		78.55,
10,		78.42,		78.47,		78.55,
11,		78.46,		78.49,		78.55,
12,		78.46,		78.49,		78.55,
13,		78.47,		78.49,		78.55,
14,		78.47,		78.49,		78.55,
15,		78.47,		78.49,		78.55,
16,		78.48,		78.50,		78.55,
17,		78.48,		78.50,		78.55,
18,		78.48,		78.50,		78.56,
19,		78.48,		78.50,		78.56,
20,		78.48,		78.50,		78.56,
21,		78.48,		78.50,		78.56,
22,		78.48,		78.50,		78.56,
23,		78.48,		78.50,		78.56,
24,		78.49,		78.50,		78.56,
25,		78.49,		78.51,		78.56,
26,		78.49,		78.51,		78.56,
27,		78.50,		78.51,		78.56,
28,		78.50,		78.51,		78.56,
29,		78.50,		78.51,		78.56,
30,		78.50,		78.51,		78.56,
31,		78.50,		78.51,		78.57,
32,		78.50,		78.52,		78.57,
33,		78.51,		78.52,		78.57,
34,		78.51,		78.52,		78.57,
35,		78.51,		78.52,		78.57,
36,		78.52,		78.52,		78.57,
37,		78.52,		78.52,		78.57,
38,		78.52,		78.52,		78.57,
39,		78.52,		78.52,		78.57,
40,		78.52,		78.53,		78.57,
41,		78.52,		78.53,		78.57,
42,		78.52,		78.53,		78.57,
43,		78.52,		78.53,		78.57,
44,		78.52,		78.53,		78.57,
45,		78.52,		78.53,		78.57,
46,		78.52,		78.53,		78.57,
47,		78.52,		78.53,		78.57,
48,		78.52,		78.53,		78.57,
49,		78.52,		78.53,		78.57,
