GEN,		MIN,				AVE,				MAX,				EXTINCT,		CONV,				SEMI,		SUPER,	T_SEMI,	T_SUPER,	L_L,			L_W,		L_a,		K_L,		K_W,		K_A,		H_L,		H_W,		H_A,		B1_L,		B1_W,		B1_A,		B2_L,		B2_W,		B2_A,		B3_L,		B3_W,		B3_A,
  0,		48198.59,		48860.83,		49263.35,		0,					1.00824,		0,			0,			0,			0,				15.43,		10.29,		158.69,		9.40,		7.04,		45.64,		5.5,		4.55,		25.02,		15.13,		10.09,		152.67,		14.53,		9.69,		140.78,		13.81,		9.21,		127.14
  1,		48879.27,		49029.61,		49275.83,		0,					1.00502,		0,			0,			0,			0,				15.30,		10.20,		156.09,		10.63,		6.76,		45.16,		5.5,		3.98,		21.91,		15.66,		10.44,		163.57,		13.81,		9.21,		127.14,		12.95,		8.63,		111.84
  2,		48978.12,		49080.90,		49275.83,		0,					1.00397,		0,			0,			0,			0,				15.30,		10.20,		156.09,		10.63,		6.76,		45.16,		5.5,		3.98,		21.91,		15.66,		10.44,		163.57,		13.81,		9.21,		127.14,		12.95,		8.63,		111.84
  3,		49025.36,		49110.03,		49320.98,		0,					1.00430,		0,			0,			0,			0,				13.90,		9.27,		128.89,		9.02,		6.47,		41.86,		5.5,		4.55,		25.02,		15.00,		10.00,		150.00,		14.74,		9.83,		144.81,		13.05,		8.70,		113.49
  4,		49051.77,		49127.38,		49320.98,		0,					1.00394,		0,			0,			0,			0,				13.90,		9.27,		128.89,		9.02,		6.47,		41.86,		5.5,		4.55,		25.02,		15.00,		10.00,		150.00,		14.74,		9.83,		144.81,		13.05,		8.70,		113.49
  5,		49070.95,		49143.51,		49324.02,		0,					1.00367,		0,			0,			0,			0,				15.68,		10.46,		163.96,		6.57,		7.70,		46.77,		5.5,		5.60,		30.78,		15.13,		10.09,		152.67,		13.71,		9.14,		125.24,		12.38,		8.25,		102.19
  6,		49088.48,		49151.96,		49324.02,		0,					1.00350,		0,			0,			0,			0,				15.68,		10.46,		163.96,		6.57,		7.70,		46.77,		5.5,		5.60,		30.78,		15.13,		10.09,		152.67,		13.71,		9.14,		125.24,		12.38,		8.25,		102.19
  7,		49099.05,		49159.52,		49324.02,		0,					1.00335,		0,			0,			0,			0,				15.68,		10.46,		163.96,		6.57,		7.70,		46.77,		5.5,		5.60,		30.78,		15.13,		10.09,		152.67,		13.71,		9.14,		125.24,		12.38,		8.25,		102.19
  8,		49107.80,		49166.14,		49324.02,		0,					1.00321,		0,			0,			0,			0,				15.68,		10.46,		163.96,		6.57,		7.70,		46.77,		5.5,		5.60,		30.78,		15.13,		10.09,		152.67,		13.71,		9.14,		125.24,		12.38,		8.25,		102.19
  9,		49117.24,		49172.52,		49324.02,		0,					1.00308,		0,			0,			0,			0,				15.68,		10.46,		163.96,		6.57,		7.70,		46.77,		5.5,		5.60,		30.78,		15.13,		10.09,		152.67,		13.71,		9.14,		125.24,		12.38,		8.25,		102.19
 10,		49123.11,		49177.64,		49330.28,		0,					1.00310,		0,			0,			0,			0,				14.16,		9.44,		133.65,		7.98,		6.47,		40.82,		5.5,		5.03,		27.68,		15.13,		10.09,		152.67,		13.71,		9.14,		125.24,		13.81,		9.21,		127.14
 11,		49131.14,		49183.91,		49334.90,		0,					1.00307,		0,			0,			0,			0,				14.41,		9.61,		138.48,		6.57,		8.27,		50.17,		5.5,		5.92,		32.56,		15.13,		10.09,		152.67,		13.91,		9.28,		129.04,		12.48,		8.32,		103.77
