GEN,		MIN,				AVE,				MAX,				EXTINCT,		CONV,				SEMI,		SUPER,	T_SEMI,	T_SUPER,	L_L,			L_W,		L_a,		K_L,		K_W,		K_A,		H_L,		H_W,		H_A,		B1_L,		B1_W,		B1_A,		B2_L,		B2_W,		B2_A,		B3_L,		B3_W,		B3_A,
  0,		48152.84,		48844.16,		49285.42,		0,					1.00903,		0,			0,			0,			0,				14.41,		9.61,		138.48,		8.27,		6.19,		39.40,		5.5,		3.98,		21.91,		15.00,		10.00,		150.00,		15.77,		10.51,		165.79,		14.29,		9.52,		136.05
  1,		48178.57,		48934.11,		49290.07,		0,					1.00727,		0,			0,			0,			0,				14.03,		9.35,		131.26,		9.59,		6.94,		45.26,		5.5,		4.06,		22.35,		16.59,		11.06,		183.55,		13.91,		9.28,		129.04,		12.67,		8.44,		106.96
  2,		48232.93,		48916.25,		49268.52,		0,					1.00720,		0,			0,			0,			0,				14.03,		9.35,		131.26,		9.59,		6.94,		45.26,		5.5,		4.06,		22.35,		15.53,		10.35,		160.81,		14.12,		9.41,		132.90,		15.05,		10.03,		150.95
  3,		48379.90,		49030.81,		49287.10,		0,					1.00523,		0,			0,			0,			0,				14.03,		9.35,		131.26,		9.59,		6.94,		45.26,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		15.98,		10.65,		170.16,		12.76,		8.51,		108.58
  4,		48283.01,		49076.05,		49286.22,		0,					1.00428,		0,			0,			0,			0,				14.03,		9.35,		131.26,		9.59,		6.94,		45.26,		5.5,		3.74,		20.58,		15.00,		10.00,		150.00,		15.98,		10.65,		170.16,		12.76,		8.51,		108.58
  5,		48570.83,		49076.89,		49247.77,		0,					1.00348,		0,			0,			0,			0,				16.95,		11.30,		191.59,		6.28,		8.93,		53.86,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		15.98,		10.65,		170.16,		12.76,		8.51,		108.58
  6,		48417.08,		49071.25,		49260.54,		0,					1.00386,		0,			0,			0,			0,				14.16,		9.44,		133.65,		7.89,		9.50,		58.86,		5.5,		4.47,		24.57,		15.13,		10.09,		152.67,		15.98,		10.65,		170.16,		12.76,		8.51,		108.58
  7,		48386.43,		49044.67,		49252.33,		0,					1.00423,		0,			0,			0,			0,				16.44,		10.96,		180.28,		6.66,		8.93,		54.24,		5.5,		3.58,		19.69,		15.00,		10.00,		150.00,		15.98,		10.65,		170.16,		12.76,		8.51,		108.58
  8,		48515.86,		49055.39,		49248.70,		0,					1.00394,		0,			0,			0,			0,				16.19,		10.79,		174.75,		7.98,		8.93,		55.56,		5.5,		3.58,		19.69,		15.13,		10.09,		152.67,		15.15,		10.10,		153.03,		12.76,		8.51,		108.58
  9,		48521.10,		48967.54,		49248.70,		0,					1.00574,		0,			0,			0,			0,				16.19,		10.79,		174.75,		7.98,		8.93,		55.56,		5.5,		3.58,		19.69,		15.13,		10.09,		152.67,		15.15,		10.10,		153.03,		12.76,		8.51,		108.58
 10,		48474.49,		48931.65,		49228.38,		0,					1.00606,		0,			0,			0,			0,				16.19,		10.79,		174.75,		7.51,		9.50,		58.49,		5.5,		4.15,		22.80,		15.13,		10.09,		152.67,		15.98,		10.65,		170.16,		12.76,		8.51,		108.58
 11,		48449.12,		48969.04,		49243.86,		0,					1.00561,		0,			0,			0,			0,				14.16,		9.44,		133.65,		7.89,		10.44,		64.53,		5.5,		4.79,		26.35,		15.13,		10.09,		152.67,		15.98,		10.65,		170.16,		12.76,		8.51,		108.58
 12,		48449.12,		48983.32,		49190.89,		0,					1.00424,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.91,		9.50,		61.89,		5.5,		4.23,		23.24,		16.73,		11.15,		186.50,		14.33,		9.55,		136.81,		13.14,		8.76,		115.16
 13,		48451.85,		48975.27,		49226.90,		0,					1.00514,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.91,		9.50,		61.89,		5.5,		4.23,		23.24,		15.66,		10.44,		163.57,		14.33,		9.55,		136.81,		12.76,		8.51,		108.58
 14,		48479.07,		49001.80,		49177.59,		0,					1.00359,		0,			0,			0,			0,				16.19,		10.79,		174.75,		10.54,		10.44,		67.18,		5.5,		4.79,		26.35,		15.13,		10.09,		152.67,		14.33,		9.55,		136.81,		12.95,		8.63,		111.84
 15,		48381.82,		49001.02,		49207.26,		0,					1.00421,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.91,		10.44,		67.56,		5.5,		5.44,		29.90,		15.13,		10.09,		152.67,		14.33,		9.55,		136.81,		12.95,		8.63,		111.84
 16,		48416.08,		49022.79,		49204.09,		0,					1.00370,		0,			0,			0,			0,				18.22,		12.15,		221.37,		7.89,		7.42,		46.39,		5.5,		4.79,		26.35,		15.13,		10.09,		152.67,		14.43,		9.62,		138.79,		14.48,		9.65,		139.71
 17,		48495.55,		48972.67,		49212.87,		0,					1.00490,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.91,		10.35,		66.99,		5.5,		4.79,		26.35,		15.13,		10.09,		152.67,		14.33,		9.55,		136.81,		12.95,		8.63,		111.84
 18,		48488.60,		49013.95,		49227.38,		0,					1.00435,		0,			0,			0,			0,				18.22,		12.15,		221.37,		6.38,		9.59,		57.92,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		14.33,		9.55,		136.81,		12.38,		8.25,		102.19
 19,		48472.60,		48962.89,		49227.38,		0,					1.00540,		0,			0,			0,			0,				18.22,		12.15,		221.37,		6.38,		9.59,		57.92,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		14.33,		9.55,		136.81,		12.38,		8.25,		102.19
 20,		48563.70,		48946.31,		49208.10,		0,					1.00535,		0,			0,			0,			0,				18.22,		12.15,		221.37,		6.38,		11.10,		66.99,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		14.33,		9.55,		136.81,		12.38,		8.25,		102.19
 21,		48487.17,		48930.86,		49187.98,		0,					1.00525,		0,			0,			0,			0,				16.19,		10.79,		174.75,		9.40,		9.50,		60.38,		5.5,		4.15,		22.80,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 22,		48543.67,		48922.46,		49204.08,		0,					1.00576,		0,			0,			0,			0,				18.22,		12.15,		221.37,		9.40,		6.47,		42.24,		5.5,		3.58,		19.69,		15.53,		10.35,		160.81,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 23,		48563.70,		48918.26,		49282.96,		0,					1.00746,		0,			0,			0,			0,				14.16,		9.44,		133.65,		6.38,		9.50,		57.35,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 24,		48541.20,		48912.38,		49163.77,		0,					1.00514,		0,			0,			0,			0,				18.10,		12.06,		218.29,		10.63,		7.32,		48.57,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 25,		48563.70,		48921.88,		49181.59,		0,					1.00531,		0,			0,			0,			0,				16.19,		10.79,		174.75,		6.09,		14.88,		89.38,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 26,		48541.20,		48919.00,		49181.59,		0,					1.00537,		0,			0,			0,			0,				16.19,		10.79,		174.75,		6.09,		14.88,		89.38,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 27,		48395.85,		48909.84,		49190.81,		0,					1.00574,		0,			0,			0,			0,				16.19,		10.79,		174.75,		6.09,		14.13,		84.85,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 28,		48422.67,		48955.54,		49177.71,		0,					1.00454,		0,			0,			0,			0,				14.16,		9.44,		133.65,		7.61,		14.88,		90.89,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 29,		48309.58,		48919.91,		49177.71,		0,					1.00527,		0,			0,			0,			0,				14.16,		9.44,		133.65,		7.61,		14.88,		90.89,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 30,		48296.38,		48956.16,		49223.37,		0,					1.00546,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.63,		8.83,		57.64,		5.5,		3.50,		19.25,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 31,		48539.62,		48975.12,		49224.12,		0,					1.00508,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.82,		8.65,		56.69,		5.5,		3.50,		19.25,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.38,		8.25,		102.19
 32,		48395.65,		48867.95,		49222.54,		0,					1.00726,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.82,		8.65,		56.69,		5.5,		3.50,		19.25,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.48,		8.32,		103.77
 33,		48391.40,		48885.80,		49222.54,		0,					1.00689,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.82,		8.65,		56.69,		5.5,		3.50,		19.25,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.48,		8.32,		103.77
 34,		48534.97,		48933.51,		49222.54,		0,					1.00591,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.82,		8.65,		56.69,		5.5,		3.50,		19.25,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.48,		8.32,		103.77
 35,		48615.48,		48938.88,		49235.76,		0,					1.00607,		0,			0,			0,			0,				14.67,		9.78,		143.41,		11.01,		8.65,		56.88,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		14.33,		9.55,		136.81,		12.48,		8.32,		103.77
 36,		48536.75,		48991.74,		49230.76,		0,					1.00488,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.63,		8.08,		53.10,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.48,		8.32,		103.77
 37,		48584.96,		48957.95,		49230.76,		0,					1.00557,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.63,		8.08,		53.10,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.48,		8.32,		103.77
 38,		48584.96,		49074.97,		49260.69,		0,					1.00378,		0,			0,			0,			0,				15.17,		10.12,		153.51,		9.12,		6.57,		42.52,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		16.08,		10.72,		172.36,		12.48,		8.32,		103.77
 39,		48436.50,		49021.13,		49293.10,		0,					1.00555,		0,			0,			0,			0,				15.17,		10.12,		153.51,		7.61,		8.08,		50.08,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		14.33,		9.55,		136.81,		12.48,		8.32,		103.77
 40,		48529.72,		49000.13,		49240.83,		0,					1.00491,		0,			0,			0,			0,				15.17,		10.12,		153.51,		10.63,		6.57,		44.03,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		16.08,		10.72,		172.36,		12.48,		8.32,		103.77
 41,		48666.73,		49026.50,		49240.83,		0,					1.00437,		0,			0,			0,			0,				15.17,		10.12,		153.51,		10.63,		6.57,		44.03,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		16.08,		10.72,		172.36,		12.48,		8.32,		103.77
 42,		48666.85,		49079.29,		49258.07,		0,					1.00364,		0,			0,			0,			0,				15.17,		10.12,		153.51,		10.63,		6.57,		44.03,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.25,		10.17,		155.12,		12.48,		8.32,		103.77
 43,		48575.32,		49133.90,		49271.21,		0,					1.00279,		0,			0,			0,			0,				15.17,		10.12,		153.51,		10.63,		6.57,		44.03,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		14.43,		9.62,		138.79,		12.67,		8.44,		106.96
 44,		48730.81,		49105.45,		49274.41,		0,					1.00344,		0,			0,			0,			0,				15.17,		10.12,		153.51,		10.63,		6.57,		44.03,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		14.43,		9.62,		138.79,		12.48,		8.32,		103.77
 45,		48745.52,		49093.43,		49266.81,		0,					1.00353,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.63,		6.57,		44.03,		5.5,		3.50,		19.25,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.67,		8.44,		106.96
 46,		48739.64,		49086.45,		49266.81,		0,					1.00367,		0,			0,			0,			0,				14.16,		9.44,		133.65,		10.63,		6.57,		44.03,		5.5,		3.50,		19.25,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.67,		8.44,		106.96
 47,		48784.78,		49076.56,		49263.14,		0,					1.00380,		0,			0,			0,			0,				15.17,		10.12,		153.51,		9.12,		6.38,		41.39,		5.5,		4.79,		26.35,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.67,		8.44,		106.96
 48,		48759.27,		49065.37,		49245.17,		0,					1.00366,		0,			0,			0,			0,				15.17,		10.12,		153.51,		11.01,		6.57,		44.41,		5.5,		3.50,		19.25,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.48,		8.32,		103.77
 49,		48753.67,		49066.91,		49243.51,		0,					1.00360,		0,			0,			0,			0,				15.17,		10.12,		153.51,		10.63,		6.38,		42.90,		5.5,		5.44,		29.90,		15.66,		10.44,		163.57,		15.98,		10.65,		170.16,		12.48,		8.32,		103.77
 50,		48585.41,		49075.94,		49279.96,		0,					1.00416,		0,			0,			0,			0,				15.17,		10.12,		153.51,		10.63,		6.38,		42.90,		5.5,		4.87,		26.79,		15.66,		10.44,		163.57,		14.33,		9.55,		136.81,		12.48,		8.32,		103.77
